Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum (Nth),Max transmission of Ref. spec. (dB),Rsq of IV,I at -1V [A],I at 1V [A],Graph Image
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:00:04 2019,process LMZ,0.1,A2,magdzi83,-1,-1,0,No Error,1550,0.9962,-8.4449,1.0000,1.0809e-12,5.3564e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-1,-1)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-1,-1)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:01:36 2019,process LMZ,0.1,A2,magdzi83,-1,-3,0,No Error,1550,0.9958,-9.2137,1.0000,4.8942e-10,4.9924e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-1,-3)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-1,-3)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:18:58 2019,process LMZ,0.1,A2,magdzi83,-1,3,0,No Error,1550,0.9956,-9.8615,1.0000,2.6894e-10,5.2882e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-1,3)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-1,3)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:10:19 2019,process LMZ,0.1,A2,magdzi83,-3,-3,0,No Error,1550,0.9939,-8.6856,1.0000,5.6015e-10,4.8065e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-3,-3)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-3,-3)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:06:48 2019,process LMZ,0.1,A2,magdzi83,-3,0,0,No Error,1550,0.9963,-9.0503,1.0000,2.7858e-10,5.2383e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-3,0)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-3,0)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:20:31 2019,process LMZ,0.1,A2,magdzi83,-3,2,0,No Error,1550,0.9945,-9.9479,1.0000,1.9913e-09,5.3410e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-3,2)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-3,2)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:08:19 2019,process LMZ,0.1,A2,magdzi83,-4,-1,0,No Error,1550,0.9920,-8.9883,1.0000,2.7183e-09,5.0570e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(-4,-1)_LION1_DCM_LMZC.png"", ""HY202103_D08_(-4,-1)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:12:02 2019,process LMZ,0.1,A2,magdzi83,0,-4,0,No Error,1550,0.9937,-10.1775,1.0000,2.0783e-09,4.9712e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(0,-4)_LION1_DCM_LMZC.png"", ""HY202103_D08_(0,-4)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 11:58:33 2019,process LMZ,0.1,A2,magdzi83,0,0,0,No Error,1550,0.9971,-9.1836,1.0000,5.7543e-12,5.4551e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(0,0)_LION1_DCM_LMZC.png"", ""HY202103_D08_(0,0)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:05:01 2019,process LMZ,0.1,A2,magdzi83,0,2,0,No Error,1550,0.9951,-8.2788,1.0000,7.9620e-11,5.2828e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(0,2)_LION1_DCM_LMZC.png"", ""HY202103_D08_(0,2)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:03:18 2019,process LMZ,0.1,A2,magdzi83,2,-1,0,No Error,1550,0.9963,-9.0753,1.0000,4.5737e-11,4.8841e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(2,-1)_LION1_DCM_LMZC.png"", ""HY202103_D08_(2,-1)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:13:52 2019,process LMZ,0.1,A2,magdzi83,2,-3,0,No Error,1550,0.9965,-10.4596,1.0000,1.9514e-09,5.0003e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(2,-3)_LION1_DCM_LMZC.png"", ""HY202103_D08_(2,-3)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:17:16 2019,process LMZ,0.1,A2,magdzi83,2,2,0,No Error,1550,0.9965,-9.4654,1.0000,3.9954e-10,5.1828e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(2,2)_LION1_DCM_LMZC.png"", ""HY202103_D08_(2,2)_LION1_DCM_LMZC"")"
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:15:33 2019,process LMZ,0.1,A2,magdzi83,3,0,0,No Error,1550,0.9965,-9.6572,1.0000,8.5349e-10,5.0477e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190712_113254/HY202103_D08_(3,0)_LION1_DCM_LMZC.png"", ""HY202103_D08_(3,0)_LION1_DCM_LMZC"")"
